Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions;∅ DE/LU neighbours [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Denmark 2 [€/MWh] Calculated resolutions;France [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Norway 2 [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Sweden 4 [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Czech Republic [€/MWh] Calculated resolutions;DE/AT/LU [€/MWh] Calculated resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Calculated resolutions;Hungary [€/MWh] Calculated resolutions
Nov 1, 2024;Nov 2, 2024;75.06;55.26;90.30;7.42;7.42;80.75;107.28;7.29;92.63;38.30;3.06;79.49;93.90;-;104.24;95.45;96.63
Nov 2, 2024;Nov 3, 2024;106.76;89.01;98.92;104.80;104.79;91.70;104.99;44.02;104.96;104.87;11.01;102.74;106.34;-;113.02;104.27;105.60
Nov 3, 2024;Nov 4, 2024;93.43;73.57;90.59;70.12;58.88;79.50;92.42;37.42;95.08;91.60;5.21;94.21;94.26;-;105.86;95.33;95.58
Nov 4, 2024;Nov 5, 2024;125.87;116.56;115.79;124.00;124.72;107.88;121.14;67.17;127.46;140.39;102.25;121.35;130.06;-;128.21;128.67;132.17
Nov 5, 2024;Nov 6, 2024;164.78;133.90;137.10;157.14;157.70;115.32;156.43;43.88;156.81;156.43;100.18;129.99;161.93;-;124.69;156.47;164.04
Nov 6, 2024;Nov 7, 2024;231.09;157.43;152.00;167.09;167.53;116.49;181.37;41.95;213.27;196.86;135.57;135.87;223.71;-;126.54;209.15;218.94
Nov 7, 2024;Nov 8, 2024;159.62;130.72;129.20;146.69;146.65;109.48;146.70;42.42;152.67;159.37;121.62;126.81;156.34;-;126.52;153.28;163.77
Nov 8, 2024;Nov 9, 2024;113.39;100.13;113.04;86.05;86.39;112.12;112.91;40.86;115.99;124.07;79.07;115.95;114.93;-;117.42;119.47;133.08
Nov 9, 2024;Nov 10, 2024;114.47;106.77;113.23;114.47;114.46;111.60;114.05;51.72;114.43;114.78;96.21;115.14;114.42;-;119.09;114.50;114.93
Nov 10, 2024;Nov 11, 2024;114.17;105.74;110.40;114.17;114.13;105.88;113.16;45.35;114.18;114.22;102.98;114.54;114.14;-;120.06;113.98;114.52
Nov 11, 2024;Nov 12, 2024;121.77;110.68;110.57;121.77;121.80;99.89;108.34;51.28;124.92;124.33;118.54;122.43;113.62;-;127.13;143.70;223.98
Nov 12, 2024;Nov 13, 2024;166.12;141.93;125.99;166.02;166.12;103.74;144.13;71.84;160.68;169.49;165.42;137.60;150.19;-;140.31;189.04;306.33
Nov 13, 2024;Nov 14, 2024;150.09;141.16;136.88;138.06;139.76;123.42;146.33;44.84;228.75;183.12;106.00;146.17;159.41;-;138.34;237.26;355.32
Nov 14, 2024;Nov 15, 2024;122.02;108.43;123.50;106.27;106.28;125.10;122.69;45.00;141.64;128.56;45.90;131.03;116.82;-;133.49;166.42;265.61
Nov 15, 2024;Nov 16, 2024;124.17;101.06;125.01;90.62;88.84;124.21;123.73;42.41;135.04;114.00;22.36;126.58;118.87;-;134.65;147.01;167.35
Nov 16, 2024;Nov 17, 2024;94.36;78.42;106.37;23.75;22.57;107.16;105.34;37.76;124.89;83.38;2.14;117.47;131.75;-;130.96;141.61;155.49
Nov 17, 2024;Nov 18, 2024;63.48;73.63;94.51;27.82;28.81;90.00;78.16;35.24;111.76;52.51;16.51;118.80;155.84;-;123.40;126.83;136.81
Nov 18, 2024;Nov 19, 2024;104.59;106.74;114.23;91.12;86.53;113.88;114.82;79.96;128.78;91.48;84.30;136.31;132.74;-;137.19;156.68;242.76
Nov 19, 2024;Nov 20, 2024;123.99;119.67;111.20;124.01;124.39;87.64;120.53;119.67;135.10;120.38;119.53;134.40;119.51;-;141.86;152.91;205.99
Nov 20, 2024;Nov 21, 2024;115.03;114.58;114.36;114.75;115.01;112.43;114.37;102.80;125.38;115.80;90.99;128.92;125.50;-;131.29;126.42;131.16
Nov 21, 2024;Nov 22, 2024;123.32;120.74;121.03;123.32;123.13;113.50;121.96;110.96;126.33;122.90;107.59;133.25;124.17;-;134.38;134.90;164.53
Nov 22, 2024;Nov 23, 2024;111.30;117.78;114.49;111.30;114.25;110.76;115.48;92.28;121.01;145.41;117.66;129.71;123.26;-;137.27;123.91;127.21
Nov 23, 2024;Nov 24, 2024;76.02;84.29;80.31;66.22;63.84;70.44;83.65;56.31;102.08;90.82;60.50;129.57;123.41;-;136.39;105.02;111.16
Nov 24, 2024;Nov 25, 2024;3.97;44.86;11.18;4.31;5.05;10.66;13.74;24.74;93.02;58.42;4.69;124.40;143.21;-;131.60;94.33;116.70
Nov 25, 2024;Nov 26, 2024;55.01;72.21;69.08;30.00;30.77;66.74;76.99;35.95;112.93;73.16;16.04;131.34;151.32;-;142.90;121.28;145.41
Nov 26, 2024;Nov 27, 2024;112.75;95.27;113.86;37.18;38.75;114.24;112.05;42.85;137.95;143.68;26.55;134.61;146.26;-;151.67;141.73;149.01
Nov 27, 2024;Nov 28, 2024;119.99;117.27;104.09;116.01;99.74;82.06;113.13;66.80;149.91;166.14;100.06;139.09;152.96;-;157.89;151.40;160.51
Nov 28, 2024;Nov 29, 2024;96.07;111.29;115.25;93.28;94.75;109.77;107.08;84.36;131.11;117.40;92.51;131.35;147.31;-;145.60;135.76;146.33
Nov 29, 2024;Nov 30, 2024;130.25;119.53;120.16;124.11;130.15;114.25;124.78;50.89;131.76;140.68;105.82;138.48;133.73;-;136.72;133.97;140.04
Nov 30, 2024;Dec 1, 2024;104.24;93.02;105.63;75.29;75.28;105.40;107.46;40.38;114.09;136.72;29.65;116.46;116.86;-;121.28;116.43;120.55
